Open,High,Low,Volume,Close
311.1789855957031,318.5329895019531,306.7690124511719,23823100,317.8429870605469
317.6189880371094,330.32501220703125,316.04400634765625,20856700,329.9559936523437
329.5429992675781,329.6289978027344,318.90301513671875,15207600,320.8429870605469
321.0679931640625,334.11700439453125,320.42498779296875,22315100,331.885986328125
332.0169982910156,336.2869873046875,329.6019897460937,16574200,334.5719909667969
334.385009765625,334.7409973144531,321.35699462890625,15092300,322.53399658203125
322.2860107421875,322.6700134277344,316.9580078125,9883640,319.00799560546875
319.1520080566406,331.42401123046875,316.62701416015625,16410500,327.92401123046875
327.5830078125,328.9110107421875,312.6300048828125,15185200,315.8630065917969
316.1600036621094,320.02801513671875,311.0780029296875,11676600,317.239013671875
317.70098876953125,320.2669982910156,312.3070068359375,12302500,312.6700134277344
312.718994140625,314.8089904785156,309.3729858398437,12528300,310.73699951171875
310.9140014648437,320.1929931640625,310.21099853515625,13942900,320.1929931640625
320.4349975585937,320.4349975585937,314.00299072265625,8036550,314.2489929199219
314.0790100097656,315.8389892578125,313.56500244140625,7860650,315.0320129394531
314.84600830078125,315.1499938964844,281.0820007324219,33054400,281.0820007324219
281.14599609375,287.2300109863281,257.61199951171875,55629100,264.19500732421875
265.0840148925781,278.34100341796875,265.0840148925781,43962800,274.4739990234375
274.6109924316406,287.5530090332031,272.6960144042969,23245700,286.1889953613281
286.0769958496094,298.7539978027344,283.0790100097656,24866800,294.3370056152344
294.135009765625,294.135009765625,282.17498779296875,19982500,283.3489990234375
282.38299560546875,291.114013671875,280.5329895019531,18718600,290.4079895019531
287.3030090332031,288.12701416015625,273.96600341796875,15264300,274.7959899902344
274.6080017089844,279.63800048828125,265.0390014648437,18200800,265.6600036621094
266.14599609375,272.2030029296875,265.20001220703125,18880300,267.7959899902344
267.3940124511719,268.2770080566406,219.906005859375,72843904,225.86099243164065
223.8939971923828,223.8939971923828,171.50999450683594,97638704,178.10299682617188
176.89700317382812,229.06700134277344,176.89700317382812,81773504,209.843994140625
209.07000732421875,221.59100341796875,199.77099609375,38421000,208.0970001220703
207.83399963378903,211.7310028076172,194.875,23469700,199.25999450683597
200.0500030517578,218.69500732421875,194.5059967041016,30085100,210.3390045166016
211.4709930419922,216.72799682617188,207.3179931640625,18658300,214.86099243164065
212.9069976806641,215.24099731445312,205.1529998779297,24051100,211.31500244140625
211.3780059814453,227.7879943847656,211.2120056152344,29924600,226.89700317382807
227.32200622558597,237.0189971923828,226.4340057373047,33544600,233.406005859375
233.5169982910156,234.84500122070312,225.1959991455078,24621700,232.8789978027344
232.6999969482422,248.2100067138672,230.02200317382807,24782500,247.8470001220703
247.3520050048828,255.07400512695312,243.88999938964844,33582700,253.71800231933597
254.07899475097656,309.3840026855469,254.07899475097656,106794000,273.4729919433594
273.1669921875,275.4800109863281,250.6529998779297,44399000,263.4750061035156
263.3510131835937,266.5350036621094,227.04600524902344,44352200,233.9149932861328
233.34800720214844,238.70599365234372,220.7120056152344,32213400,233.51300048828125
232.77200317382807,242.8509979248047,225.8390045166016,26605200,226.4250030517578
226.4409942626953,233.5039978027344,216.3090057373047,23348200,217.4640045166016
216.86700439453125,231.57400512695312,212.01499938964844,29128500,226.9720001220703
226.49099731445312,242.1750030517578,222.65899658203125,30612100,238.22900390625
237.45399475097656,245.95700073242188,224.4830017089844,40783700,227.26800537109372
227.5110015869141,230.05799865722656,221.11300659179688,26594300,226.85299682617188
227.6649932861328,239.40499877929688,214.7250061035156,22516400,217.11099243164065
216.92300415039065,230.50999450683597,216.23199462890625,24435300,222.26600646972656
222.63299560546875,230.2989959716797,222.60699462890625,21604200,227.7539978027344
227.6929931640625,229.43800354003903,221.07699584960935,17145200,223.41200256347656
223.38900756835935,223.9770050048828,217.0189971923828,27791300,220.1100006103516
220.2819976806641,221.8070068359375,215.33200073242188,21115100,219.8390045166016
219.73199462890625,223.406005859375,218.07400512695312,17201900,219.18499755859372
219.2079925537109,222.19900512695312,217.61399841308597,15206200,221.76400756835935
221.968994140625,240.25900268554688,221.26199340820312,42744400,235.427001953125
235.5279998779297,259.8080139160156,235.5279998779297,49732500,257.3210144042969
257.5069885253906,265.6109924316406,227.6840057373047,56552400,234.8249969482422
234.8249969482422,239.52099609375,229.02200317382807,28153700,233.84300231933597
233.4219970703125,245.7749938964844,232.31399536132807,27363100,243.6100006103516
243.77999877929688,244.25100708007807,232.33999633789065,25200800,236.3260040283203
236.41000366210935,242.6719970703125,235.5919952392578,18270500,240.2830047607422
240.25100708007807,247.1009979248047,239.2989959716797,23876700,243.7790069580078
243.7519989013672,255.32000732421875,243.1840057373047,12284200,244.53399658203125
244.54400634765625,246.3919982910156,233.8509979248047,19527000,235.9770050048828
235.9949951171875,240.10899353027344,232.42100524902344,16400000,238.8919982910156
238.9980010986328,239.9010009765625,236.4019927978516,14200400,238.7350006103516
238.88999938964844,239.33999633789065,235.52999877929688,11496200,237.47000122070312
237.3370056152344,237.7100067138672,234.2570037841797,13619400,236.42599487304688
236.43600463867188,256.65301513671875,236.43600463867188,44013900,253.8280029296875
253.5200042724609,254.69200134277344,249.47900390625,13949300,254.26300048828125
254.2830047607422,261.6600036621094,245.93299865722656,25213700,260.2019958496094
260.35699462890625,276.3009948730469,258.31298828125,40465700,275.6700134277344
275.0459899902344,285.7959899902344,268.1610107421875,50461300,281.7019958496094
281.989990234375,284.2250061035156,268.1260070800781,41383000,273.0920104980469
272.739013671875,281.6669921875,264.7690124511719,41302400,276.1780090332031
275.6000061035156,277.6080017089844,270.0150146484375,28918900,272.7229919433594
272.29400634765625,277.85400390625,270.13299560546875,17825900,276.260986328125
276.4330139160156,277.8580017089844,272.56500244140625,22067900,274.35400390625
274.81201171875,292.70098876953125,273.8930053710937,59178200,289.60699462890625
289.86199951171875,300.04400634765625,289.7430114746094,67770800,291.760009765625
291.5249938964844,297.3909912109375,290.50799560546875,33963900,296.3789978027344
296.12701416015625,297.0880126953125,292.4129943847656,32585200,294.35400390625
294.1180114746094,294.4979858398437,285.3370056152344,31421500,285.3370056152344
284.4419860839844,286.3420104980469,280.9760131835937,22612300,281.885009765625
281.42498779296875,286.52899169921875,280.9960021972656,11970100,286.3930053710937
285.6849975585937,294.11199951171875,285.6849975585937,21516100,290.5929870605469
290.5950012207031,292.364990234375,284.3739929199219,21497200,285.5050048828125
285.0669860839844,285.33599853515625,249.8699951171875,57008000,256.29901123046875
255.8800048828125,264.2439880371094,248.6360015869141,52732000,260.9280090332031
260.9559936523437,264.8479919433594,259.1619873046875,18456700,261.7489929199219
261.6440124511719,262.1960144042969,255.6499938964844,17130100,260.0249938964844
259.9169921875,269.7470092773437,259.5899963378906,18438100,267.9599914550781
267.8949890136719,277.2969970703125,261.7449951171875,22811900,266.739990234375
266.5769958496094,267.00299072265625,244.15499877929688,40073700,245.59500122070312
247.4720001220703,249.19000244140625,236.51499938964844,35866900,246.19700622558597
246.2760009765625,254.35400390625,244.90499877929688,25730000,248.5319976806641
248.5659942626953,256.8110046386719,245.21299743652344,17274900,247.0290069580078
246.9750061035156,254.2050018310547,246.9750061035156,16040900,252.79800415039065
252.7400054931641,253.13900756835935,240.8500061035156,21699400,242.71299743652344
242.8789978027344,249.24200439453125,239.2140045166016,23009600,247.5260009765625
247.45399475097656,248.72999572753903,242.73899841308597,22672000,244.2239990234375
244.22300720214844,247.5410003662109,241.16000366210935,22877200,247.27200317382807
247.0890045166016,254.46099853515625,245.4160003662109,26272600,253.0050048828125
253.07400512695312,256.0429992675781,251.8789978027344,23146600,254.32200622558597
254.2910003662109,255.25799560546875,251.1000061035156,12493500,253.69700622558597
253.7610015869141,260.67498779296875,251.94200134277344,19649200,260.5979919433594
260.72100830078125,261.7980041503906,254.5749969482422,20034200,255.49200439453125
255.2740020751953,255.80499267578125,252.2050018310547,18467400,253.17999267578125
253.06399536132807,253.8470001220703,244.21499633789065,30086400,245.02200317382807
244.75100708007807,246.1179962158203,239.3999938964844,21643500,243.67599487304688
243.69400024414065,243.69400024414065,232.77099609375,28882000,236.07200622558597
236.01600646972656,239.53700256347656,234.1750030517578,16365200,236.552001953125
236.53500366210935,237.72799682617188,233.4949951171875,12387900,236.1529998779297
235.9499969482422,236.93499755859372,221.9960021972656,31181800,224.5870056152344
224.75900268554688,224.9759979248047,216.322998046875,31719000,219.15899658203125
219.072998046875,223.8329925537109,218.6490020751953,22562000,223.8329925537109
223.91700744628903,229.6719970703125,223.91700744628903,24805400,228.572998046875
228.5749969482422,228.906005859375,221.94200134277344,20429800,222.8820037841797
222.85299682617188,224.3159942626953,220.87600708007807,12939000,223.3560028076172
223.45599365234372,226.35299682617188,222.3730010986328,15021500,222.6000061035156
222.61199951171875,226.3509979248047,221.9770050048828,18364700,224.62600708007807
224.6199951171875,235.2689971923828,224.30099487304688,24978000,235.2689971923828
235.6020050048828,237.90899658203125,233.4759979248047,23847900,234.17599487304688
234.0529937744141,236.4750061035156,233.19900512695312,17036000,236.4620056152344
235.97000122070312,236.30499267578125,229.93299865722656,21448700,231.26800537109372
231.2350006103516,232.56100463867188,226.3370056152344,13957200,226.38999938964844
226.41000366210935,226.94400024414065,214.87399291992188,28943700,219.42999267578125
